COMMAND     PID        USER   FD     TYPE             DEVICE SIZE/OFF                NODE NAME
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   297472             1561218 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.TagHelpers.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    55296             1561248 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Razor.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   845312             1560961 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.ComponentModel.TypeConverter.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   260608             1560984 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Private.Uri.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    80896             1561000 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.IO.MemoryMappedFiles.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   265728             1561034 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Diagnostics.Process.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  1935872             1560913 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Net.Http.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    94208             1560947 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Collections.NonGeneric.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  1136128             1560939 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Text.RegularExpressions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   125440             1561060 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Threading.Channels.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   283136             1560941 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.IO.Compression.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   769536             1561289 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Http.Extensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   228864             1561200 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Net.Http.Headers.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   793600             1560883 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Net.Security.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2342400             1560994 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Security.Cryptography.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    11776             1561251 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Localization.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    55808             1561204 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Http.Features.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   318464             1560927 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Runtime.Numerics.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    21504             1561284 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Html.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    90112             1561232 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.FileSystemGlobbing.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   206848             1560967 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.ComponentModel.Annotations.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     6656             1561302 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Metadata.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   443392             1561057 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Private.Xml.Linq.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  9265152             1560945 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Private.Xml.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    73936           123189134 /Library/Preferences/Logging/.plist-cache.ilc7uXrR
AgctorSDK 82260 rahamohebbi  txt      REG               1,14      110 1152921500312101805 /System/Library/CoreServices/SystemVersion.bundle/English.lproj/SystemVersion.strings
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     5632             1560985 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Runtime.Loader.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    65696           123538781 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Microsoft.AspNetCore.OpenApi.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   211344           123538787 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Microsoft.OpenApi.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     5120             1561041 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/Microsoft.Win32.Primitives.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    13824           123538799 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Extensions.Hosting.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    64000           123538790 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Api.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   202752           123538791 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    25088           123538792 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Api.ProviderBuilderExtensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    62464           123538796 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Exporter.Zipkin.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   237056           123538795 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Exporter.OpenTelemetryProtocol.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    86016           123538794 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Exporter.Jaeger.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    36864           123538793 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/OpenTelemetry.Exporter.Console.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     5632             1560893 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Threading.ThreadPool.dll
